,Cultivo,Departamento,Alta [ha],Media [ha],Baja [ha],Muy baja [ha],Total aptitud [ha],Área departamento [ha]
7,Mango ,Cauca,218.24099999999999,215.793,106.986,0.0,541.020,3.125.130
8,Mango ,Tolima,213.79,170.065,126.958,0.0,510.813,2.415.020
9,Mango ,Huila,155.264,213.406,137.243,0.0,505.913,1.813.533
10,Mango ,Bolívar,94.234,210.097,186.814,0.0,491.145,2.665.496
11,Mango ,Magdalena,176.59099999999998,154.811,127.727,0.0,459.129,2.314.438
12,Mango ,Cundinamarca,214.22299999999998,122.688,39.168,0.0,376.079,2.236.783
13,Mango ,Valle del Cauca,242.579,98.623,11.484,0.0,352.686,2.076.805
14,Mango ,Casanare,107.088,95.897,79.054,0.0,282.039,4.434.139
15,Mango ,Sucre,145.599,114.492,20.729,0.0,280.820,1.071.860
16,Mango ,La Guajira,83.28399999999999,81.694,35.337,0.0,200.315,2.061.936
17,Mango ,Norte de Santander,89.538,47.255,61.821,0.0,198.614,2.182.705
18,Mango ,Caldas,123.34,44.326,28.767,0.0,196.433,743.890
19,Mango ,Nariño,32.156,99.333,59.575,0.0,191.064,3.149.751
20,Mango ,Putumayo,4.918,8.619,171.007,0.0,184.544,2.584.632
21,Mango ,Guaviare,0.0,85.502,76.461,0.0,161.963,5.557.912
22,Mango ,Boyacá,50.732,62.952,47.759,0.0,161.443,2.317.531
23,Mango ,Atlántico,30.066,85.105,34.387,0.0,149.558,331.159
24,Mango ,Risaralda,43.138999999999996,41.854,21.732,0.0,106.725,356.035
25,Mango ,Chocó,303.0,10.320,73.396,0.0,84.019,4.824.344
26,Mango ,Quindío,61.699,7.939,142,0.0,69.780,193.217
27,Mango ,Arauca,27.0,63.687,730,0.0,64.444,2.383.135
28,Mango ,Amazonas,0.0,901,10.382,0.0,11.283,10.903.686
29,Mango ,Guainía,0.0,211,10.076,0.0,10.287,7.140.386
30,Mango ,Vaupés,0.0,0,5.663,0.0,5.663,5.343.179
31,Mango ,San Andrés Providencia y Santa Catalina,0.0,0,0,0.0,0,4.972
0,Maíz ,Vichada,352.396,822.5880000000001,1.436.852,0.0,2.611.836,10.008.757
1,Maíz ,Meta,1.724.526,611.497,124.453,0.0,2.460.476,8.555.025
2,Maíz ,Córdoba,1.052.797,189.59599999999998,76.918,0.0,1.319.311,2.499.858
3,Maíz ,Antioquia,589.424,379.92900000000003,321.239,0.0,1.290.592,6.296.299
4,Maíz ,Caquetá,808.644,257.495,52.380,0.0,1.118.519,9.010.823
5,Maíz ,Santander,170.264,328.546,197.393,0.0,696.203,3.054.326
6,Maíz ,Cesar,388.425,191.764,92.050,0.0,672.239,2.256.550
7,Maíz ,Arauca,261.045,237.363,99.581,0.0,597.989,2.383.135
8,Maíz ,Tolima,237.356,184.072,117.316,0.0,538.744,2.415.020
9,Maíz ,Bolívar,251.950,161.583,94.809,0.0,508.342,2.665.496
10,Maíz ,Magdalena,237.000,117.92200000000001,95.318,0.0,450.240,2.314.438
11,Maíz ,Huila,183.034,160.119,37.250,0.0,380.403,1.813.533
12,Maíz ,Casanare,201.536,100.64299999999999,45.274,0.0,347.453,4.434.139
13,Maíz ,Cauca,96.415,124.88799999999999,116.383,0.0,337.686,3.125.130
14,Maíz ,Cundinamarca,92.886,138.989,104.933,0.0,336.808,2.236.783
15,Maíz ,Sucre,296.350,16.055999999999997,173,0.0,312.579,1.071.860
16,Maíz ,Valle del Cauca,180.595,96.04899999999999,35.027,0.0,311.671,2.076.805
17,Maíz ,Putumayo,28.473,125.046,121.901,0.0,275.420,2.584.632
18,Maíz ,Norte de Santander,50.273,77.8,138.263,0.0,266.336,2.182.705
19,Maíz ,La Guajira,131.582,40.623000000000005,9.262,0.0,181.467,2.061.936
20,Maíz ,Caldas,63.747,66.093,41.922,0.0,171.762,743.890
21,Maíz ,Guaviare,50.810,44.074,76.804,0.0,171.688,5.557.912
22,Maíz ,Atlántico,59.209,83.676,6.245,0.0,149.130,331.159
23,Maíz ,Boyacá,97.709,17.505,30.935,0.0,146.149,2.317.531
24,Maíz ,Nariño,62.066,36.667,30.572,0.0,129.305,3.149.751
25,Maíz ,Chocó,7.495,40.291,52.596,0.0,100.382,4.824.344
26,Maíz ,Risaralda,33.867,33.614000000000004,9.387,0.0,76.868,356.035
27,Maíz ,Quindío,44.574,12.06,1.000,0.0,57.634,193.217
28,Maíz ,Guainía,0,3.4410000000000003,7.841,0.0,11.282,7.140.386
29,Maíz ,Amazonas,5.233,4.406000000000001,1.391,0.0,11.030,10.903.686
30,Maíz ,Vaupés,63,2.537,4.265,0.0,6.865,5.343.179
31,Maíz ,San Andrés Providencia y Santa Catalina,0,0.0,0,0.0,0,4.972
0,Palma de aceite ,Vichada,231050,2954382,342610,698687.0,4226729,9310070
1,Palma de aceite ,Meta,1247000,1674252,547012,118738.0,3587002,8436287
2,Palma de aceite ,Casanare,253977,461345,173959,2348264.0,3237545,2085876
3,Palma de aceite ,Córdoba,599604,809133,84085,3241.0,1496063,2496617
4,Palma de aceite ,Arauca,143585,155458,77664,1101457.0,1478164,1281678
5,Palma de aceite ,Antioquia,533674,542924,120965,2838.0,1200401,6293461
6,Palma de aceite ,Caquetá,64235,982339,141705,0.0,1188279,9010823
7,Palma de aceite ,Magdalena,248678,458645,128035,495.0,835853,2313943
8,Palma de aceite ,Cesar,414028,338361,58334,0.0,810723,2256550
9,Palma de aceite ,Santander,500769,217111,20525,614.0,739019,3053712
10,Palma de aceite ,Bolívar,194195,389083,76355,707.0,660340,2664789
11,Palma de aceite ,Tolima,22460,299808,113758,0.0,436026,2415020
12,Palma de aceite ,Sucre,140002,196269,16488,0.0,352759,1071860
13,Palma de aceite ,Putumayo,33,80951,256758,0.0,337742,2584632
14,Palma de aceite ,Valle del Cauca,71275,123681,88026,0.0,282982,2076805
15,Palma de aceite ,Guaviare,26682,110184,132543,0.0,269409,5557912
16,Palma de aceite ,La Guajira,91815,135676,39275,0.0,266766,2061936
17,Palma de aceite ,Cundinamarca,44095,160410,48812,79.0,253396,2236704
18,Palma de aceite ,Huila,3777,153599,74400,0.0,231776,1813533
19,Palma de aceite ,Norte de Santander,103850,86593,29095,29.0,219567,2182677
20,Palma de aceite ,Cauca,9213,108306,87392,84.0,204995,3125046
21,Palma de aceite ,Atlántico,34518,107347,44841,0.0,186706,331159
22,Palma de aceite ,Chocó,22126,51664,74436,13032.0,161258,4811312
23,Palma de aceite ,Nariño,84347,25913,27398,381.0,138039,3149371
24,Palma de aceite ,Caldas,19072,92401,15307,0.0,126780,743890
25,Palma de aceite ,Boyacá,62012,42872,9047,281.0,114212,2317251
26,Palma de aceite ,Risaralda,3051,21617,3890,0.0,28558,356035
27,Palma de aceite ,Quindío,804,25943,332,0.0,27079,193217
28,Palma de aceite ,Amazonas,4723,4305,11093,0.0,20121,10903686
29,Palma de aceite ,Vaupés,0,11183,8859,0.0,20042,5343179
30,Palma de aceite ,Guainía,51,8716,8841,0.0,17608,7140386
31,Palma de aceite ,San Andrés Providencia y Santa Catalina,0,0,0,0.0,0,4972
0,Papa capira,Cundinamarca,109.04299999999999,93.837,47.476000000000006,0.0,250.356,2.236.783
1,Papa capira,Nariño,66.824,16.185,6.435,0.0,89.444,3.149.751
2,Papa capira,Boyacá,21.655,19.214000000000002,18.5,0.0,59.369,2.317.531
3,Papa capira,Cauca,3.0010000000000003,15.258,18.68,0.0,36.939,3.125.130
4,Papa capira,Santander,217.0,3.302,22.885,0.0,26.404,3.054.326
5,Papa capira,Antioquia,4.171,5.376,7.268,0.0,16.815,6.296.299
6,Papa capira,Putumayo,1.3030000000000002,2.639,6.7010000000000005,0.0,10.642999999999999,2.584.632
7,Papa capira,Tolima,0.0,646.0,4.1530000000000005,0.0,4.7989999999999995,2.415.020
8,Papa capira,Huila,539.0,354.0,2.265,0.0,3.158,1.813.533
9,Papa capira,Caldas,426.0,656.0,1.925,0.0,3.0069999999999997,743.890
10,Papa capira,Norte de Santander,360.0,0.0,643.0,0.0,1.003,2.182.705
11,Papa capira,Valle del Cauca,0.0,158.0,555.0,0.0,713.0,2.076.805
12,Papa capira,Quindío,0.0,175.0,50.0,0.0,225.0,193.217
13,Papa capira,Risaralda,0.0,0.0,135.0,0.0,135.0,356.035
14,Papa capira,Chocó,0.0,0.0,0.0,0.0,0.0,4.824.344
15,Papa capira,Cesar,0.0,0.0,0.0,0.0,0.0,2.256.550
16,Papa capira,La Guajira,0.0,0.0,0.0,0.0,0.0,2.061.936
17,Papa capira,Magdalena,0.0,0.0,0.0,0.0,0.0,2.314.438
18,Papa capira,Meta,0.0,0.0,0.0,0.0,0.0,8.555.025
19,Papa capira,Caquetá,0.0,0.0,0.0,0.0,0.0,9.010.823
20,Papa capira,Bolívar,0.0,0.0,0.0,0.0,0.0,2.665.496
21,Papa capira,Sucre,0.0,0.0,0.0,0.0,0.0,1.071.860
22,Papa capira,Arauca,0.0,0.0,0.0,0.0,0.0,2.383.135
23,Papa capira,Casanare,0.0,0.0,0.0,0.0,0.0,4.434.139
24,Papa capira,Atlántico,0.0,0.0,0.0,0.0,0.0,331.159
25,Papa capira,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
26,Papa capira,Amazonas,0.0,0.0,0.0,0.0,0.0,10.903.686
27,Papa capira,Guainía,0.0,0.0,0.0,0.0,0.0,7.140.386
28,Papa capira,Guaviare,0.0,0.0,0.0,0.0,0.0,5.557.912
29,Papa capira,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
30,Papa capira,Córdoba,0.0,0.0,0.0,0.0,0.0,2.499.858
31,Papa capira,Vichada,0.0,0.0,0.0,0.0,0.0,10.008.757
0,Papa ,Cundinamarca,265.999,142.505,20.141,0.0,428.645,2.236.783
1,Papa ,Boyacá,261.244,62.869,11.64,0.0,335.75300000000004,2.317.531
2,Papa ,Nariño,134.35299999999998,52.24100000000001,22.474,0.0,209.06799999999998,3.149.751
3,Papa ,Cauca,37.813,76.666,62.846000000000004,0.0,177.325,3.125.130
4,Papa ,Antioquia,105.25299999999999,53.151,13.66,0.0,172.06400000000002,6.296.299
5,Papa ,Santander,26.201999999999998,61.036,14.493,0.0,101.73100000000001,3.054.326
6,Papa ,Tolima,16.74,32.569,21.049,0.0,70.358,2.415.020
7,Papa ,Caldas,1.571,30.035,27.655,0.0,59.261,743.890
8,Papa ,Norte de Santander,21.916999999999998,27.608,8.538,0.0,58.063,2.182.705
9,Papa ,Valle del Cauca,23.363000000000003,5.976,3.068,0.0,32.407,2.076.805
10,Papa ,Putumayo,0.0,8.11,6.297999999999999,0.0,14.408,2.584.632
11,Papa ,Huila,705.0,4.135,5.317,0.0,10.157,1.813.533
12,Papa ,Quindío,0.0,321.0,5.081,0.0,5.402,193.217
13,Papa ,Risaralda,2.536,769.0,88.0,0.0,3.3930000000000002,356.035
14,Papa ,Meta,0.0,152.0,255.0,0.0,407.0,8.555.025
15,Papa ,Casanare,0.0,0.0,166.0,0.0,166.0,4.434.139
16,Papa ,Cesar,0.0,45.0,52.0,0.0,97.0,2.256.550
17,Papa ,Magdalena,0.0,0.0,38.0,0.0,38.0,2.314.438
18,Papa ,Caquetá,0.0,0.0,0.0,0.0,0.0,9.010.823
19,Papa ,Bolívar,0.0,0.0,0.0,0.0,0.0,2.665.496
20,Papa ,Sucre,0.0,0.0,0.0,0.0,0.0,1.071.860
21,Papa ,Atlántico,0.0,0.0,0.0,0.0,0.0,331.159
22,Papa ,Arauca,0.0,0.0,0.0,0.0,0.0,2.383.135
23,Papa ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0.0,4.972
24,Papa ,Amazonas,0.0,0.0,0.0,0.0,0.0,10.903.686
25,Papa ,Guainía,0.0,0.0,0.0,0.0,0.0,7.140.386
26,Papa ,Guaviare,0.0,0.0,0.0,0.0,0.0,5.557.912
27,Papa ,Vaupés,0.0,0.0,0.0,0.0,0.0,5.343.179
28,Papa ,Córdoba,0.0,0.0,0.0,0.0,0.0,2.499.858
29,Papa ,Vichada,0.0,0.0,0.0,0.0,0.0,10.008.757
30,Papa ,Chocó,0.0,0.0,0.0,0.0,0.0,4.824.344
31,Papa ,La Guajira,0.0,0.0,0.0,0.0,0.0,2.061.936
0,Papaya ,Vichada,55.22,753.7330000000001,1.404.817,0.0,2.213.770,10.008.757
1,Papaya ,Meta,851.4810000000001,833.8510000000001,495.040,0.0,2.180.372,8.555.025
2,Papaya ,Antioquia,382.207,350.531,320.884,0.0,1.053.622,6.296.299
3,Papaya ,Caquetá,142.662,482.73900000000003,400.643,0.0,1.026.044,9.010.823
4,Papaya ,Córdoba,625.495,140.341,232.895,0.0,998.731,2.499.858
5,Papaya ,Santander,168.63400000000001,207.697,227.217,0.0,603.548,3.054.326
6,Papaya ,Cesar,281.31,185.287,84.267,0.0,550.864,2.256.550
7,Papaya ,Bolívar,135.987,163.286,175.415,0.0,474.688,2.665.496
8,Papaya ,Magdalena,221.24400000000003,128.326,91.347,0.0,440.917,2.314.438
9,Papaya ,Tolima,96.92200000000001,132.54399999999998,161.564,0.0,391.030,2.415.020
10,Papaya ,Huila,38.176,135.727,130.175,0.0,304.078,1.813.533
11,Papaya ,Cundinamarca,129.648,83.36,68.966,0.0,281.974,2.236.783
12,Papaya ,Sucre,242.085,37.13,2.649,0.0,281.864,1.071.860
13,Papaya ,Cauca,102.39299999999999,96.605,78.155,0.0,277.153,3.125.130
14,Papaya ,Valle del Cauca,143.394,125.435,4.074,0.0,272.903,2.076.805
15,Papaya ,Casanare,185.99200000000002,46.093999999999994,39.203,0.0,271.289,4.434.139
16,Papaya ,La Guajira,65.543,78.63,38.872,0.0,183.045,2.061.936
17,Papaya ,Putumayo,2.427,6.372000000000001,173.825,0.0,182.624,2.584.632
18,Papaya ,Guaviare,886.0,91.161,77.624,0.0,169.671,5.557.912
19,Papaya ,Norte de Santander,57.293,35.184,46.556,0.0,139.033,2.182.705
20,Papaya ,Caldas,49.68600000000001,51.908,32.838,0.0,134.432,743.890
21,Papaya ,Atlántico,35.157,74.973,18.938,0.0,129.068,331.159
22,Papaya ,Boyacá,72.015,25.647,30.754,0.0,128.416,2.317.531
23,Papaya ,Nariño,19.944000000000003,45.342,46.167,0.0,111.453,3.149.751
24,Papaya ,Chocó,88.0,16.077,66.550,0.0,82.715,4.824.344
25,Papaya ,Arauca,63.048,762.0,0,0.0,63.810,2.383.135
26,Papaya ,Risaralda,21.497,18.743,20.350,0.0,60.590,356.035
27,Papaya ,Quindío,47.443999999999996,6.667999999999999,0,0.0,54.112,193.217
28,Papaya ,Amazonas,93.0,1.182,11.069,0.0,12.344,10.903.686
29,Papaya ,Guainía,0.0,3.06,8.631,0.0,11.691,7.140.386
30,Papaya ,Vaupés,0.0,0.0,6.844,0.0,6.844,5.343.179
31,Papaya ,San Andrés Providencia y Santa Catalina,0.0,0.0,0,0.0,0,4.972
0,Pasto humidícola ,Vichada,804.123,3.553.901,0.0,0.0,4.358.024,9.909.931
1,Pasto humidícola ,Meta,2.589.856,1.400.896,99.0,0.0,3.990.851,8.555.025
2,Pasto humidícola ,Casanare,645.569,2.635.296,15.065,0.0,3.295.930,4.434.139
3,Pasto humidícola ,Antioquia,1.435.910,639.607,10.038,0.0,2.085.555,6.296.299
4,Pasto humidícola ,Córdoba,1.530.490,137.067,0.0,0.0,1.667.557,2.499.858
5,Pasto humidícola ,Arauca,444.587,1.122.683,345.0,0.0,1.567.615,2.383.135
6,Pasto humidícola ,Caquetá,727.977,694.390,0.0,0.0,1.422.367,9.010.823
7,Pasto humidícola ,Magdalena,971.347,275.341,120.0,0.0,1.246.808,2.314.438
8,Pasto humidícola ,Santander,600.015,573.202,1.064,0.0,1.174.281,3.054.326
9,Pasto humidícola ,Cesar,735.437,409.269,2.569,0.0,1.147.275,2.256.550
10,Pasto humidícola ,Bolívar,560.212,459.365,2.3409999999999997,0.0,1.021.918,2.665.496
11,Pasto humidícola ,Tolima,509.631,326.751,1.069,0.0,837.451,2.415.020
12,Pasto humidícola ,Cundinamarca,462.863,231.899,0.0,0.0,694.762,2.236.783
13,Pasto humidícola ,Huila,264.503,361.310,18.253,0.0,644.066,1.813.533
14,Pasto humidícola ,Sucre,563.346,53.140,0.0,0.0,616.486,1.071.860
15,Pasto humidícola ,Cauca,288.738,304.937,22.410999999999998,0.0,616.086,3.125.130
16,Pasto humidícola ,Valle del Cauca,412.621,115.800,2.059,0.0,530.480,2.076.805
17,Pasto humidícola ,Norte de Santander,294.366,161.495,3.8939999999999997,0.0,459.755,2.182.705
18,Pasto humidícola ,Putumayo,346.309,79.390,0.0,0.0,425.699,2.584.632
19,Pasto humidícola ,Boyacá,235.317,154.064,425.0,0.0,389.806,2.317.531
20,Pasto humidícola ,Guaviare,312.527,28.334,0.0,0.0,340.861,5.557.912
21,Pasto humidícola ,Nariño,201.335,107.502,422.0,0.0,309.259,3.149.751
22,Pasto humidícola ,La Guajira,66.626,226.523,368.0,0.0,293.517,2.061.936
23,Pasto humidícola ,Caldas,166.508,77.188,9.211,0.0,252.907,743.890
24,Pasto humidícola ,Chocó,232.810,15.775,0.0,0.0,248.585,4.824.344
25,Pasto humidícola ,Guainía,242.157,3.801,0.0,0.0,245.958,7.140.386
26,Pasto humidícola ,Atlántico,73.586,145.258,7.416,0.0,226.260,331.159
27,Pasto humidícola ,Risaralda,32.822,60.419,23.976,0.0,117.217,356.035
28,Pasto humidícola ,Quindío,30.186,40.136,6.08,0.0,76.402,193.217
29,Pasto humidícola ,Vaupés,33.254,5.779,0.0,0.0,39.033,5.343.179
30,Pasto humidícola ,Amazonas,25.858,758,0.0,0.0,26.616,10.903.686
31,Pasto humidícola ,San Andrés Providencia y Santa Catalina,0,0,0.0,0.0,0,4.972
0,Pastos angleton ,Córdoba,822.465,748.635,7.812,0.0,1.578.912,2.499.858
1,Pastos angleton ,Magdalena,892.451,310.063,12.132,0.0,1.214.646,2.314.438
2,Pastos angleton ,Antioquia,616.503,457.042,3.3989999999999996,0.0,1.076.944,6.296.299
3,Pastos angleton ,Cesar,516.979,466.49800000000005,28.965,0.0,1.012.442,2.256.550
4,Pastos angleton ,Bolívar,490.18800000000005,343.712,2.423,0.0,836.323,2.665.496
5,Pastos angleton ,Meta,146.39700000000002,615.193,8.684,0.0,770.274,8.555.025
6,Pastos angleton ,Tolima,337.639,352.05300000000005,43.724,0.0,733.416,2.415.020
7,Pastos angleton ,Santander,215.415,360.481,37.486999999999995,0.0,613.383,3.054.326
8,Pastos angleton ,Sucre,416.98199999999997,124.99799999999999,0.0,0.0,541.980,1.071.860
9,Pastos angleton ,Arauca,0.0,188.472,316.965,0.0,505.437,2.383.135
10,Pastos angleton ,Valle del Cauca,201.65200000000002,226.002,27.495,0.0,455.149,2.076.805
11,Pastos angleton ,Huila,180.645,119.19,53.035,0.0,352.870,1.813.533
12,Pastos angleton ,Cundinamarca,100.566,214.93,13.0,0.0,328.496,2.236.783
13,Pastos angleton ,Vichada,0.0,249.197,70.125,0.0,319.322,10.008.757
14,Pastos angleton ,La Guajira,106.98,152.566,29.105999999999998,0.0,288.652,2.061.936
15,Pastos angleton ,Cauca,72.679,166.21200000000002,45.6,0.0,284.491,3.125.130
16,Pastos angleton ,Norte de Santander,87.542,124.588,25.529,0.0,237.659,2.182.705
17,Pastos angleton ,Atlántico,85.82600000000001,133.832,6.711,0.0,226.369,331.159
18,Pastos angleton ,Caquetá,2.241,166.72,18.822,0.0,187.783,9.010.823
19,Pastos angleton ,Caldas,82.48100000000001,87.104,16.211,0.0,185.796,743.890
20,Pastos angleton ,Chocó,94.486,85.977,1.338,0.0,181.801,4.824.344
21,Pastos angleton ,Nariño,52.297,97.072,4.63,0.0,153.999,3.149.751
22,Pastos angleton ,Casanare,28.814,101.266,10.872,0.0,140.952,4.434.139
23,Pastos angleton ,Boyacá,55.248999999999995,77.342,2.681,0.0,135.272,2.317.531
24,Pastos angleton ,Putumayo,27.921,55.696000000000005,5.138,0.0,88.755,2.584.632
25,Pastos angleton ,Guainía,0.0,57.172,0.0,0.0,57.172,7.140.386
26,Pastos angleton ,Quindío,7.7989999999999995,45.485,3.523,0.0,56.807,193.217
27,Pastos angleton ,Risaralda,17.488,34.541,4.083,0.0,56.112,356.035
28,Pastos angleton ,Guaviare,279.0,15.350999999999999,0.0,0.0,15.630,5.557.912
29,Pastos angleton ,Vaupés,0.0,6.781000000000001,0.0,0.0,6.781,5.343.179
30,Pastos angleton ,Amazonas,0.0,5.666,0.0,0.0,5.666,10.903.686
31,Pastos angleton ,San Andrés Providencia y Santa Catalina,0.0,0.0,0.0,0.0,0,4.972
0,Pastos braquiaria común y basilisk ,Meta,1.518.201,2.206.262,4.848,0.0,3.729.311,8.555.025
1,Pastos braquiaria común y basilisk ,Vichada,52.693,3.473.670,1.171,0.0,3.527.534,10.008.757
2,Pastos braquiaria común y basilisk ,Antioquia,807.891,877.640,33.866,0.0,1.719.397,6.296.299
3,Pastos braquiaria común y basilisk ,Córdoba,1.194.466,300.856,0.0,0.0,1.495.322,2.499.858
4,Pastos braquiaria común y basilisk ,Caquetá,240.123,967.228,694.0,0.0,1.208.045,9.010.823
5,Pastos braquiaria común y basilisk ,Magdalena,869.851,269.992,4.125,0.0,1.143.968,2.314.438
6,Pastos braquiaria común y basilisk ,Santander,413.659,611.857,2.1719999999999997,0.0,1.027.688,3.054.326
7,Pastos braquiaria común y basilisk ,Cesar,495.800,462.647,15.568,0.0,974.015,2.256.550
8,Pastos braquiaria común y basilisk ,Bolívar,264.647,551.980,3.451,0.0,820.078,2.665.496
9,Pastos braquiaria común y basilisk ,Arauca,157.487,660.460,345.0,0.0,818.292,2.383.135
10,Pastos braquiaria común y basilisk ,Tolima,359.669,429.671,7.023,0.0,796.363,2.415.020
11,Pastos braquiaria común y basilisk ,Casanare,123.881,543.277,26.993000000000002,0.0,694.151,4.434.139
12,Pastos braquiaria común y basilisk ,Cundinamarca,346.158,289.882,4.737,0.0,640.777,2.236.783
13,Pastos braquiaria común y basilisk ,Huila,189.655,367.240,36.819,0.0,593.714,1.813.533
14,Pastos braquiaria común y basilisk ,Cauca,146.884,336.612,14.699000000000002,0.0,498.195,3.125.130
15,Pastos braquiaria común y basilisk ,Valle del Cauca,359.224,98.228,4.489,0.0,461.941,2.076.805
16,Pastos braquiaria común y basilisk ,Sucre,319.833,94.716,0.0,0.0,414.549,1.071.860
17,Pastos braquiaria común y basilisk ,Norte de Santander,142.883,238.993,23.779,0.0,405.655,2.182.705
18,Pastos braquiaria común y basilisk ,Putumayo,37.083,304.917,70.0,0.0,342.070,2.584.632
19,Pastos braquiaria común y basilisk ,Boyacá,165.577,136.600,25.258000000000003,0.0,327.435,2.317.531
20,Pastos braquiaria común y basilisk ,Guaviare,218.706,105.024,0.0,0.0,323.730,5.557.912
21,Pastos braquiaria común y basilisk ,La Guajira,51.639,225.335,14.702,0.0,291.676,2.061.936
22,Pastos braquiaria común y basilisk ,Nariño,86.029,153.727,0.0,0.0,239.756,3.149.751
23,Pastos braquiaria común y basilisk ,Caldas,158.047,71.308,7.337999999999999,0.0,236.693,743.890
24,Pastos braquiaria común y basilisk ,Atlántico,64.630,137.085,7.428,0.0,209.143,331.159
25,Pastos braquiaria común y basilisk ,Guainía,148.571,59.197,0.0,0.0,207.768,7.140.386
26,Pastos braquiaria común y basilisk ,Chocó,112.628,55.618,0.0,0.0,168.246,4.824.344
27,Pastos braquiaria común y basilisk ,Risaralda,30.666,55.425,22.379,0.0,108.470,356.035
28,Pastos braquiaria común y basilisk ,Quindío,11.170,59.680,3.2769999999999997,0.0,74.127,193.217
29,Pastos braquiaria común y basilisk ,Vaupés,14.698,12.190,0.0,0.0,26.888,5.343.179
30,Pastos braquiaria común y basilisk ,Amazonas,13.842,3.943,0.0,0.0,17.785,10.903.686
31,Pastos braquiaria común y basilisk ,San Andrés Providencia y Santa Catalina,0,0,0.0,0.0,0,4.972
0,Pastos estrella ,Vichada,11.118,4.277.689,183.013,0.0,4.471.820,10.008.757
1,Pastos estrella ,Meta,157.5,3.840.067,41.21,0.0,4.038.777,8.555.025
2,Pastos estrella ,Casanare,28.826,2.315.360,134.14600000000002,0.0,2.478.332,4.434.139
3,Pastos estrella ,Antioquia,796.3969999999999,1.402.370,251.21200000000002,0.0,2.449.979,6.296.299
4,Pastos estrella ,Córdoba,943.955,717.411,7.682,0.0,1.669.048,2.499.858
5,Pastos estrella ,Arauca,0.0,1.225.001,349.23199999999997,0.0,1.574.233,2.383.135
6,Pastos estrella ,Caquetá,2.2030000000000003,1.416.098,7.562,0.0,1.425.863,9.010.823
7,Pastos estrella ,Santander,249.87599999999998,924.308,150.811,0.0,1.324.995,3.054.326
8,Pastos estrella ,Magdalena,938.0160000000001,292.560,14.497,0.0,1.245.073,2.314.438
9,Pastos estrella ,Cundinamarca,134.887,873.940,218.674,0.0,1.227.501,2.236.783
10,Pastos estrella ,Cesar,534.727,493.455,110.29899999999999,0.0,1.138.481,2.256.550
11,Pastos estrella ,Bolívar,624.738,386.246,10.062000000000001,0.0,1.021.046,2.665.496
12,Pastos estrella ,Tolima,434.06699999999995,378.517,93.12700000000001,0.0,905.711,2.415.020
13,Pastos estrella ,Boyacá,88.227,481.272,289.98400000000004,0.0,859.483,2.317.531
14,Pastos estrella ,Cauca,85.804,511.297,197.657,0.0,794.758,3.125.130
15,Pastos estrella ,Huila,251.842,305.180,116.79799999999999,0.0,673.820,1.813.533
16,Pastos estrella ,Valle del Cauca,260.116,271.137,21.778000000000002,0.0,553.031,2.076.805
17,Pastos estrella ,Sucre,445.464,104.060,0.0,0.0,549.524,1.071.860
18,Pastos estrella ,Norte de Santander,99.08,322.947,105.124,0.0,527.151,2.182.705
19,Pastos estrella ,Nariño,92.806,314.943,105.419,0.0,513.168,3.149.751
20,Pastos estrella ,Putumayo,29.555,398.522,17.835,0.0,445.912,2.584.632
21,Pastos estrella ,Guaviare,268.0,345.327,0.0,0.0,345.595,5.557.912
22,Pastos estrella ,Caldas,115.70299999999999,138.207,50.806000000000004,0.0,304.716,743.890
23,Pastos estrella ,La Guajira,115.14299999999999,150.314,31.250999999999998,0.0,296.708,2.061.936
24,Pastos estrella ,Chocó,109.789,138.040,1.176,0.0,249.005,4.824.344
25,Pastos estrella ,Guainía,0.0,247.401,0.0,0.0,247.401,7.140.386
26,Pastos estrella ,Atlántico,96.821,127.393,1.148,0.0,225.362,331.159
27,Pastos estrella ,Risaralda,26.768,89.333,12.0,0.0,128.101,356.035
28,Pastos estrella ,Quindío,21.061,54.870,7.314,0.0,83.245,193.217
29,Pastos estrella ,Vaupés,0.0,40.817,0.0,0.0,40.817,5.343.179
30,Pastos estrella ,Amazonas,0.0,22.937,0.0,0.0,22.937,10.903.686
31,Pastos estrella ,San Andrés Providencia y Santa Catalina,0.0,0,0.0,0.0,0,4.972
0,Pastos guinea común ,Meta,359.487,3.404.894,12.366,0.0,3.776.747,8.555.025
1,Pastos guinea común ,Vichada,11.191,3.417.693,98.941,0.0,3.527.825,10.008.757
2,Pastos guinea común ,Antioquia,700.064,933.331,95.61399999999999,0.0,1.729.009,6.296.299
3,Pastos guinea común ,Córdoba,1.005.453,498.268,0.0,0.0,1.503.721,2.499.858
4,Pastos guinea común ,Caquetá,30.782,1.188.440,4.189,0.0,1.223.411,9.010.823
5,Pastos guinea común ,Magdalena,901.479,243.001,2.77,0.0,1.147.250,2.314.438
6,Pastos guinea común ,Santander,245.577,748.722,33.914,0.0,1.028.213,3.054.326
7,Pastos guinea común ,Cesar,470.715,418.687,83.391,0.0,972.793,2.256.550
8,Pastos guinea común ,Arauca,0,787.813,31.221999999999998,0.0,819.035,2.383.135
9,Pastos guinea común ,Bolívar,472.597,330.983,14.584000000000001,0.0,818.164,2.665.496
