BP,No. VP,Nombre Proyecto,Departamento,Municipio,Total beneficiarios,Hombres,Mujeres,Total Víctimas,Valor cofinanciado ADR,Valor encargo fiduciario,Valor total cofinanciación ADR,Valor Contrapartida,Valor total proyecto,Hectáreas,Resolución,Fecha resolución,Vigencia,Lineamiento de consejo directivo
362,236,"Fortalecimiento productivo de la actividad ovina con pequeños productores de los municipios de Curumaní, Pailitas y Tamalameque en el departamento de Cesár",CESAR,"CURUMANI, PAILITAS, TAMALAMEQUE",122,83,39,55,2529918000,N/A,2529918000,749048000,3278966000,1714,630,08/06/2018 12:00:00 AM,2017,N/A
364,238,"Promover la actividad porcícola, mediante la implementación de un sistema de producción autosostenible que contribuya el mejoramiento de los ingresos de lso campesinos en el municipio de Baranoa departamento del Atlántico",ATLANTICO,BARANOA,34,19,15,4,411026500,N/A,411026500,47072500,458099000,1,799,09/27/2018 12:00:00 AM,2017,N/A
365,239,"Siembra, mantenimiento y adecuación de un sistema agroforestal (coco-plátano-yuca) que nos permita el mejoramiento de las capacidades productivas al Consejo Comunitario de la Costa Pacifica ""CONCOSTA"" en la comunidad de Belén de Docampado localizados en el municipio de Bajo Baudó en el departamento del Chocó.",CHOCO,BAJO BAUDO,40,39,1,28,699698000,"26,390,566",726088566,728000000,1454088566,200,823,11/27/2019 12:00:00 AM,2019,ASISTENCIA TÉCNICA Y EXTENSIÓN
366,240,"Fortalecimiento de la productividad y competitividad de las asociaciones piscicultoras del complejo cenagoso de la Zapatosa en el municipio de Chimichagua, Cesár, a través del mejoramiento de sus unidades productivas",CESAR,CHIMICHAGUA,125,108,17,23,2196641100,N/A,2196641100,255011250,2451652350,0,629,08/06/2018 12:00:00 AM,2017,N/A
367,241,"Fortalecimiento de sistemas productivos de ganadería doble propósito de pequeños y medianos productores de los municipios de Ariguaní, Plato, Nueva Granada, Pivijay, Guamal en el departamento del Magdalena",MAGDALENA,"ARIGUANI, PLATO, NUEVA GRANADA, PIVIJAY, GUAMAL",173,115,58,56,2996765100,N/A,2996765100,512735093,3509500193,865,638,08/06/2018 12:00:00 AM,2017,N/A
368,242,"Fortalecimiento de la cadena productiva ganadera mediante la entrega de un banco de maquinaria (tractor e implementos), fortalecimiento empresarial y capacitación técnica a pequeños y medianos productores de los municipios de Aguachica, Agustín Codazzi, Bosconia, Gamarra, Chimichagua y Valledupar en el departamento del Cesár",CESAR,"AGUACHICA, AGUSTÍN CODAZZI, BOSCONIA, GAMARRA, CHIMICHAGUA, VALLEDUPAR",174,140,34,60,2021000000,N/A,2021000000,754745280,2775745280,0,650,08/09/2018 12:00:00 AM,2017,N/A
369,243,"Fortalecer las capacidades productivas del sector agropecuario en el departamento del Atlántico, a través de la entrega de maquinaria agrícola, equipos, capital productivo y acompañamiento técnico como apoyo a líneas de producción para el mejoramiento de la productividad y rentabilidad del sector",ATLANTICO,"PONEDERA, GALAPA, MANATÍ, PALMAR DE VARELA, MALAMBO, USIACURÍ, SANTO TOMÁS, SUÁN, POLONUEVO, JUAN DE ACOSTA, TUBARÁ, CANDELARIA",220,182,38,11,2200000000,N/A,2200000000,695515967,2895515967,70,759,09/19/2018 12:00:00 AM,2017,N/A
371,245,"Fortalecimiento de las cadenas productivas de café en asocio con plátano y aguacate, cultivo de maracuyá de 37 familias de las veredas Alto de Don Diego, Bellavista, Curiaco, Granada, La Concordia, El Páramo, Paso Feo y El Salado del municipio de Taminango departamento de Nariño",NARIÑO,TAMINANGO,37,21,16,23,533630234,N/A,533630234,198360000,731990234,37,579,08/26/2019 12:00:00 AM,2018,ORDENAMIENTO DE LA PRODUCCIÓN
372,246,"Mejorar la calidad de vida de 60 núcleos familiares del corregimiento de Esmeraldas mediante la implementación de unidades productivas avícolas en el municipio de Rosario, Departamento de Nariño",NARIÑO,EL ROSARIO,60,5,55,56,562183500,N/A,562183500,194200000,756383500,0,458,07/16/2019 12:00:00 AM,2017,N/A
378,252,"Fortalecimiento de la cadena productiva de Cacao, a través de la rehabilitación de 184 hectáreas de cacao en los departamentos de Guainía y Vichada","GUAINÍA
VICHADA","BARRANCO MINAS,
INÍRIDA,
MAPIRIPANA,
CUMARIBO",90,87,3,36,731834400,N/A,731834400,634457600,1366292000,184,459,07/16/2019 12:00:00 AM,2017,N/A
380,254,"Mejorar la productividad del cultivo de caña panelera, mediante la siembra, la provisión de equipos para cosecha y poscosecha beneficiando pequeños productores de los municipios de Valledupar y Pueblo Bello en el Departamento del Cesar.",CESAR,"VALLEDUPAR
PUEBLO BELLO",118,93,25,46,1964910200,"26,390,566",1991300766,688057600,2679358366,118,821,11/27/2019 12:00:00 AM,2019,ORDENAMIENTO DE LA PRODUCCIÓN
382,255,"Aumentar los ingresos de pequeños productores agropecuarios de los municipios de la Jagua de Ibirico, Chimichagua, y Agustín Codazzi en el departamento del Cesar, a partir del cultivo de mango Keitt en asocio con frijol Caupi.",CESAR,"La Jagua de Ibirico, Chimichagua y Agustín Codazzi",48,33,15,20,704668970,"26,390,566",731059536,250892720,981952256,48,793,11/18/2019 12:00:00 AM,2019,ADECUACIÓN DE TIERRAS
390,261,"Fortalecmiento de la cadena productiva del cultivo de arroz mediante la entrega de un banco de maquinaria, fortalecimiento empresarial y capacitación técnica a pequeños productore de los municipios de Achí, San Jacinto del Cauca y María la Baja, en el departamento de Bolívar",BOLIVAR,"ACHI, SAN JACINTO DEL CAUCA, MARÍA LA BAJA",149,120,29,60,2400000000,N/A,2400000000,543277000,2943277000,1,724,09/11/2018 12:00:00 AM,2017,N/A
434,262,"Fortalecimiento de la cadena productiva agropecuaria mediante la entrega de un banco de maquinaria (tractor e implementos), fortalecimiento empresarial y capacitación técnica a pequeños y medianos productores de los municipios de Cumaribo, La Primavera, Puerto Carreño y Santa Rosalia, en el departamento del Vichada.",VICHADA,"CUMARIBO, LA PRIMAVERA, PUERTO CARREÑO, SANTA ROSALÍA",116,93,23,19,2500000000,N/A,2500000000,529332500,3029332500,2,460,07/16/2019 12:00:00 AM,2017,N/A
250,272,"Fortalecer la producción y comercialización de apicultores organizados de los municipios de Pueblo Bello y Manaure, departamento del Cesar",CESAR,"PUEBLO BELLO,
MANAURE",59,47,12,32,548743100,"26,390,566",575133666,119175000,694308666,3,820,11/27/2019 12:00:00 AM,2019,ASISTENCIA TÉCNICA Y EXTENSIÓN
